station,longitude,latitude,depth
0,-6.3322,36.618,0
76,-24.5,28,5217
77,-24.21875,28.5,5201
78,-23.9375,29,5189
79,-23.65625,29.5,5242
80,-23.375,30,5242
81,-23.09375,30.5,5284
82,-22.8125,31,5247
83,-22.53125,31.5,5224
84,-22.25,32,5170
85,-21.96875,32.5,5212
86,-21.6875,33,5258
87,-21.40625,33.5,5336
88,-21.125,34,5236
89,-20.84375,34.5,5169
90,-20.5625,35,5141
91,-20.28125,35.5,5280
92,-20,36,5348
93,-20,36.5,5157
94,-20,37,3797
95,-20,37.5,4845
96,-20,38,5134
97,-20,38.5,4147
98,-20,39,4750
99,-20,39.5,4657
100,-20,40,4759
101,-20,40.5,4920
102,-20,41,4708
103,-20,41.5,2559
104,-20,42,2349
105,-20,42.5,4150
106,-20,43,5539
107,-20,43.5,3975
108,-20,44,4001
109,-20,44.5,4242
110,-20,45,4311
111,-20,45.5,4546
112,-20,46,4842
113,-20,46.5,4864
114,-20,47,4535
115,-20,47.5,4552
116,-20,48,4362
117,-20,48.5,4046
118,-20,49,4415
119,-20,49.5,3869
120,-20,50,4402
121,-20,50.5,3933
122,-20,51,3658
123,-20,51.5,3627
124,-20,52,3772
125,-20,52.5,2781
126,-20,53,2677
127,-20,53.5,2288
128,-20,54,1417
129,-20,54.5,1384
130,-20,55,1611
131,-20,55.5,1090
132,-20,56,1464
133,-20,56.5,1375
134,-20,57,972
135,-20,57.5,1168
136,-20,58,1638
137,-20,58.5,2570
138,-20,59,2842
139,-20,59.5,2768
140,-20,60,2724
141,-20,60.5,2528
142,-20,61,2411
143,-20,61.333333,2358
144,-20,61.666667,2060
145,-20,62,1711
146,-20,62.333333,1799
147,-20,62.75,1412
148,-20,63.125,1005
149,-20,63.214,554
150,-20,63.3,264
0,-22.0,64.1,0
